"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45440473917.0949;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 11:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440473917.0949;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 11:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440480860.8218;1;1;3;240001;;;;;;;;;"28.05.2024 11:32:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440480860.8218;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 11:32:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440480860.8218;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 11:32:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440487804.8958;1;1;3;240001;;;;;;;;;"28.05.2024 11:42:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440487804.8958;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 11:42:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440487804.8958;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 11:42:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440494750.4282;1;1;3;240001;;;;;;;;;"28.05.2024 11:52:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440494750.4282;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 11:52:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440494750.4282;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 11:52:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440501694.6875;1;1;3;240001;;;;;;;;;"28.05.2024 12:02:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440501694.6875;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:02:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440501694.6875;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:02:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440508639.132;1;1;3;240001;;;;;;;;;"28.05.2024 12:12:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440508639.132;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:12:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440508639.132;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:12:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
45440515583.2176;1;1;3;240001;;;;;;;;;"28.05.2024 12:22:26";"Es wurden zu viele Variablen (Powertags) projektiert!";
45440515583.2176;1;1;3;240000;"WinCC Recipes for Runtime Advanced";;;;;;;;"28.05.2024 12:22:26";"License Key nicht verfügbar! WinCC Recipes for Runtime Advanced";
45440515583.2176;1;1;3;240000;"WinCC Logging for Runtime Advanced";;;;;;;;"28.05.2024 12:22:26";"License Key nicht verfügbar! WinCC Logging for Runtime Advanced";
