"Time_ms";"MsgProc";"StateAfter";"MsgClass";"MsgNumber";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"TimeString";"MsgText";"PLC"
45527543778.6806;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 10*****115";;;;;;;;"23.08.2024 13:03:02";"Programm/Schrittnummer Status des BM ist : 10*****115";
45527543778.6806;1;1;3;60000;"Anlagezustand-BM : Anfahren Grundstellung ";;;;;;;;"23.08.2024 13:03:02";"Anlagezustand-BM : Anfahren Grundstellung ";
45527543785.1852;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 50*****590";;;;;;;;"23.08.2024 13:03:03";"Programm/Schrittnummer Status des VM ist : 50*****590";
45527543790.2083;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 10*****150";;;;;;;;"23.08.2024 13:03:03";"Programm/Schrittnummer Status des BM ist : 10*****150";
45527543808.2407;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 10*****105";;;;;;;;"23.08.2024 13:03:05";"Programm/Schrittnummer Status des VM ist : 10*****105";
45527543808.2407;1;1;3;60000;"Anlagezustand-VM : Anfahren Grundstellung ";;;;;;;;"23.08.2024 13:03:05";"Anlagezustand-VM : Anfahren Grundstellung ";
45527543842.8472;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 1*****190";;;;;;;;"23.08.2024 13:03:08";"Programm/Schrittnummer Status des VM ist : 1*****190";
45527543842.8472;1;1;3;60000;"Anlagezustand-VM : Grundstellung ";;;;;;;;"23.08.2024 13:03:08";"Anlagezustand-VM : Grundstellung ";
45527543848.1713;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 1*****190";;;;;;;;"23.08.2024 13:03:08";"Programm/Schrittnummer Status des BM ist : 1*****190";
45527543848.1713;1;1;3;60000;"Anlagezustand-BM : Grundstellung ";;;;;;;;"23.08.2024 13:03:08";"Anlagezustand-BM : Grundstellung ";
45527543889.3056;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****615";;;;;;;;"23.08.2024 13:03:12";"Programm/Schrittnummer Status des VM ist : 60*****615";
45527543889.3056;1;1;3;60000;"Anlagezustand-VM : Standby anfahren ";;;;;;;;"23.08.2024 13:03:12";"Anlagezustand-VM : Standby anfahren ";
45527543894.2824;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****615";;;;;;;;"23.08.2024 13:03:12";"Programm/Schrittnummer Status des BM ist : 60*****615";
45527543894.294;1;1;3;60000;"Anlagezustand-BM : Standby anfahren ";;;;;;;;"23.08.2024 13:03:12";"Anlagezustand-BM : Standby anfahren ";
45527544062.9051;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****620";;;;;;;;"23.08.2024 13:03:27";"Programm/Schrittnummer Status des VM ist : 60*****620";
45527544068.0324;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****620";;;;;;;;"23.08.2024 13:03:27";"Programm/Schrittnummer Status des BM ist : 60*****620";
45527550278.1366;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****625";;;;;;;;"23.08.2024 13:12:24";"Programm/Schrittnummer Status des VM ist : 60*****625";
45527550283.4375;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****625";;;;;;;;"23.08.2024 13:12:24";"Programm/Schrittnummer Status des BM ist : 60*****625";
45527550289.6991;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 60*****630";;;;;;;;"23.08.2024 13:12:25";"Programm/Schrittnummer Status des VM ist : 60*****630";
45527550295.0926;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 60*****630";;;;;;;;"23.08.2024 13:12:25";"Programm/Schrittnummer Status des BM ist : 60*****630";
45527557175.2546;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 6*****690";;;;;;;;"23.08.2024 13:22:20";"Programm/Schrittnummer Status des VM ist : 6*****690";
45527557175.2546;1;1;3;60000;"Anlagezustand-VM : Standby ";;;;;;;;"23.08.2024 13:22:20";"Anlagezustand-VM : Standby ";
45527557181.956;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 6*****690";;;;;;;;"23.08.2024 13:22:21";"Programm/Schrittnummer Status des BM ist : 6*****690";
45527557181.956;1;1;3;60000;"Anlagezustand-BM : Standby ";;;;;;;;"23.08.2024 13:22:21";"Anlagezustand-BM : Standby ";
45527557418.5764;1;1;3;60000;"Programm/Schrittnummer Status des VM ist : 20*****201";;;;;;;;"23.08.2024 13:22:41";"Programm/Schrittnummer Status des VM ist : 20*****201";
45527557418.5764;1;1;3;60000;"Anlagezustand-VM : Abpumpen ";;;;;;;;"23.08.2024 13:22:41";"Anlagezustand-VM : Abpumpen ";
45527557425.0231;1;1;3;60000;"Programm/Schrittnummer Status des BM ist : 20*****201";;;;;;;;"23.08.2024 13:22:42";"Programm/Schrittnummer Status des BM ist : 20*****201";
45527557425.0231;1;1;3;60000;"Anlagezustand-BM : Abpumpen ";;;;;;;;"23.08.2024 13:22:42";"Anlagezustand-BM : Abpumpen ";
