Zeitstempel;Scheinleistung L1 (VA);Scheinleistung L2 (VA);Scheinleistung L3 (VA);Gesamtscheinleistung (VA)
9127;2355;3027;3401;8783
9128;2192;1111;1260;4563
9129;2701;4432;3400;10530
9130;3408;3426;4069;10900
9131;636.5;169.7;211.2;1017
9132;4697;5938;6253;16890
9133;2812;1398;2005;6215
9134;2402;4195;3019;9616
9135;1867;2139;603.8;4610
9136;3845;4056;2099;9999
9137;2382;1620;3853;7855
9138;3719;3260;2215;9193
9139;4204;2197;3523;9924
9140;2488;3846;2189;8523
9141;3492;2926;1772;7342
9142;2550;3021;3473;9044
9143;2065;1016;2249;5330
9144;2626;2727;2627;7980
9145;3703;2661;3435;9798
9146;1669;2444;2246;6358
9147;2046;2218;1227;5491
9148;1513;986.4;2466;4965
9149;1583;2222;3415;7220
9150;3596;2968;3662;10230
9151;1560;2902;2815;7278
9152;1694;1317;1641;4652
9153;2314;2363;2360;7037
9154;2619;3647;3625;9890
9155;3460;2131;2278;7869
9156;3302;3175;2770;9247
9157;4261;2206;3555;10020
9158;2907;2582;2619;8108
9159;2393;2345;3050;7788
9160;1663;169.2;209.8;2042
9161;3232;3078;4640;10950
9162;2832;2823;1617;7273
9163;2976;3213;4133;10320
9164;2646;941.1;1665;5253
9165;1114;1305;772;3191
9166;2406;4458;3411;10270
9167;824.1;1884;2565;5274
9168;4217;4493;3381;12090
9169;1913;1560;2573;6047
9170;1839;2854;2088;6782
9171;3570;3250;2056;8876
9172;2741;3225;4475;10440
9173;1502;1081;2959;5542
9174;4834;4323;3359;12520
9175;2557;3065;4051;9673
9176;2263;3605;2798;10180
9177;2096;1638;1363;5097
9178;2436;2800;2398;7634
9179;1060;806.3;209.6;2076
9180;1767;2882;3513;8161
9181;3015;1397;1570;5982
9182;1807;692.2;1792;4291
9183;2567;2178;2395;7140
9184;3039;1626;1200;5864
9185;2884;1544;4518;8945
9186;2900;2054;1138;6091
9187;1200;2771;2631;6603
9188;2789;2354;4291;9433
9189;4660;5379;2343;12380
9190;1822;3465;1819;7107
9191;3906;2219;3799;9924
9192;2062;1290;989.4;4341
9193;5721;4751;6017;16490
9194;1031;922.4;796.9;2750
9195;3840;3967;4333;12140
9196;2553;1336;2292;6181
9197;2517;4733;4350;11600
9198;3407;2465;2125;7998
9199;2377;2161;2558;5948
9200;4214;2963;3598;10780
9201;849.7;1225;311.7;2386
9202;2435;4742;2849;10030
9203;1159;861.9;1666;3687
9204;3279;2926;3404;9609
9205;1831;1344;1976;5151
9206;3447;3751;3350;10550
9207;2440;2981;2862;8284
9208;2288;2191;1996;6475
9209;2432;2741;4672;9845
9210;3670;4798;2693;11160
9211;3012;2546;1865;7422
9212;2993;3271;3440;9704
9213;2201;1136;213.4;3551
9214;2104;2494;2258;6855
9215;1467;1837;3399;6703
9216;2130;1650;1673;5454
9217;3806;1806;3774;9386
9218;1330;1204;1427;3961
9219;3188;4614;2475;10280
9220;2792;1033;3097;6922
9221;1634;664;763.3;3062
9222;4503;2453;2000;6084
9223;3124;4046;4048;11220
9224;3432;2351;2770;8554
9225;3732;3312;3292;10340
9226;1831;2337;1245;5414
9227;4534;2954;4990;12480
9228;2225;2333;3567;8125
9229;5235;3821;4718;13770
9230;1110;836.8;535.2;2482
9231;4448;5835;4808;15090
9232;2372;1453;212.8;4037
9233;2509;3104;4228;9841
9234;3378;4477;4624;12480
9235;2681;2719;2288;7688
9236;2642;3628;3704;9974
9237;3060;2646;3221;8927
9238;3883;6099;3132;13110
9239;3197;1637;2240;7074
9240;2495;3279;2900;8674
9241;3008;2014;1231;6253
9242;4597;4296;5849;14740
9243;3497;644.4;2178;6319
9244;2982;5728;4806;13520
9245;3848;3885;3699;11430
9246;1296;1113;1621;4030
9247;3332;3992;2478;9802
9248;2664;3889;4085;10640
9249;1712;2031;1824;5567
9250;3953;3729;3799;11480
9251;2285;3659;2317;8261
9252;1575;1764;3402;6741
9253;3096;3626;4154;10880
9254;2113;2849;3143;8105
9255;2443;3949;3130;9521
9256;2247;3434;2130;7811
9257;4976;3943;3994;12910
9258;1800;1304;1625;4729
9259;2905;1679;2664;7248
9260;2250;2488;2348;7086
9261;2230;1990;3176;7397
9262;3454;3283;1112;7849
9263;789.8;2081;1141;4012
9264;3846;3957;3663;11470
9265;1125;2112;212.6;3450
9266;3190;3862;5012;12060
9267;2792;1237;1237;5265
9268;2167;5082;3187;10440
9269;3439;4054;4928;12420
9270;2506;3379;3375;9259
9271;2586;1385;1573;5544
9272;2974;4002;4639;11620
9273;1748;1697;1921;5366
9274;4973;5859;5273;16110
9275;2173;1151;1201;4525
9276;2900;3878;5626;12400
9277;4482;2715;3410;10610
9278;2591;4643;4885;12120
9279;3505;1149;3194;7848
9280;1244;1156;2505;4905
9281;3552;2593;1816;7961
9282;2869;2195;3216;8280
9283;1554;2990;2361;6905
9284;1445;1851;2011;5307
9285;2537;1703;2508;6748
9286;3459;3660;4519;11640
9287;1943;2624;2152;6719
9288;2659;2794;3629;9082
9289;1921;2694;1640;6255
9290;2162;3635;2793;8590
9291;2300;1887;2092;6279
9292;1621;1016;588.2;3225
9293;4657;3415;5229;13300
9294;1289;312;1522;3122
9295;3480;2649;1128;7258
9296;2949;3339;4579;10870
